,event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,inter2,interaction,iso,region,country,admin1,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,related_ep
638,CHN2025,2020-03-05,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Kowloon City,22.3052,114.187,1,Wen Wei Po,Subnational,"On 5 March 2020, several people held a rally outside the mansion of the founder of Next Digital in Kowloon City District (Hong Kong), in support of the prosecution of the founder, who had been arrested the week before. During the demonstration, they chanted slogans calling for severe punishment, on the grounds that he had stirred anti-China chaos and disharmony in Hong Kong. It was further reported that another group of about 30 people also held a demonstration outside the mansion, popping party poppers and bottles of champagne to 'celebrate' the arrest.",0,crowd size=at least 30,1611094737,no
640,CHN2022,2020-03-04,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China); Government of China (2017-) Hong Kong Special Administrative Region,6,0,60,156,East Asia,China,Hong Kong,unknown,22.3222,114.177,3,The Stand News,Subnational,"On 4 March 2020, members of an alliance representing 17 'neglected' industries and two members of the legislative council held a press conference in Hong Kong and protested against the unfair distribution of the epidemic prevention fund. The alliance, representing industries such as hairdressing, gym, yoga and tutoring, questioned if the fund only benefitted industries represented by functional constituencies. They urged the government to introduce a second round of measures to provide coverage for these 'neglected' industries which were not eligible to apply for support from the current epidemic prevention fund.",0,crowd size=at least 3,1618442048,no
641,CHN2021,2020-03-03,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region; Christian Group (China),6,0,60,156,East Asia,China,Hong Kong,Sham Shui Po,22.3289,114.1586,1,Ming Pao,Subnational,"On 3 March 2020, district councillors and priests held a demonstration at a park in Sham Shui Po District (Hong Kong), against the police's treatment of rough sleepers in the area. This was in response to the operation conducted by the police on 24 February 2020, where rough sleepers reported being treated unreasonably, with their personal belongings damaged and smashed by police officers.",0,crowd size=no report,1611094734,no
642,CHN2020,2020-03-02,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (China),Unknown,6,1,16,156,East Asia,China,Hong Kong,Wan Chai,22.2776,114.175,1,The Stand News; Radio Free Asia,Subnational-International,"On 2 March 2020, around 10 demonstrators staged a sit-in protest at the Immigration Tower in Wan Chai District (Hong Kong), against the resumption of work for civil servants who returned to work on the same day after one month of work from home arrangements during the coronavirus outbreak. They claimed that the government had disregarded the safety of citizens. It was also reported that the demonstrators demanded the government to fully close all border crossings with Mainland China. Police officers intercepted the demonstrators and arrested 1 male student for the possession of telescopic sticks, electric oil, lighter and other items.",0,crowd size=around 10,1611094729,no
643,CHN8562,2020-03-02,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Ta Kung Pao,Subnational,"On 2 March 2020, a group of people gathered in front of the Legislative Council in Central and Western District (Hong Kong) to protest against the pro-democracy councillors supporting the pro-independence founder of Next Digital.",0,crowd size=no report,1611094735,no
644,CHN8561,2020-03-02,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DHKC: Defend Hong Kong Campaign,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Ta Kung Pao,Subnational,"On 2 March 2020, members of the Defend Hong Kong Campaign marched from Chater Garden to the Consulate General of the United States, Hong Kong and Macau in Central and Western District (Hong Kong) in protest of the involvement in Hong Kong affairs by US politicians in their support of the founder of Next Digital who had been recently arrested.",0,crowd size=no report,1611094735,no
645,CHN8523,2020-03-02,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Ta Kung Pao,Subnational,"On 2 March 2020, members of three unions of the bus industry demonstrated in front of the government headquarters in Central and Western District (Hong Kong), demanding more support for the industry of school buses amid the coronavirus pandemic when schools would not reopen until 20 April and the industry would not have any income.",0,crowd size=no report,1611094735,no
646,CHN2017,2020-03-01,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Kwun Tong,22.3109,114.2233,1,Ming Pao; RTHK,Subnational,"On 1 March 2020, about 50 residents of Kowloon Bay, Kwun Tong District (Hong Kong) staged a protest march against the government's plan to set up a designated clinic for treating suspected coronavirus patients in the district. Some demonstrators also protested against police brutality. This was one of many demonstrations across Hong Kong since the government announced its plans to set up one designated clinic in each of the 18 districts in Hong Kong.",0,crowd size=about 50,1611094729,no
647,CHN2018,2020-03-01,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (China),Unknown,6,1,16,156,East Asia,China,Hong Kong,Yau Tsim Mong,22.3201,114.1692,1,Ming Pao; The Stand News,Subnational,"On 1 March 2020, about 100 people held a protest march in Yau Ma Tei, Yau Tsim Mong District (Hong Kong) against the government's plan to set up a designated clinic for treating suspected coronavirus patients in the district. At the end of the march, some demonstrators did not disperse. The police launched an investigation and arrested 1 man and 2 women. Raw materials suspected for making petrol bombs were found on the man, while the police seized four petrol bombs from the 2 women.",0,crowd size=about 100,1611094729,no
648,CHN1841,2020-03-01,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (China),Unknown,5,0,50,156,East Asia,China,Hong Kong,Yau Tsim Mong,22.3201,114.1692,1,HK01,Subnational,"On 1 March 2020, unidentified persons set fire to a trash can outside a movie theatre in Mong Kok (Yau Tsim Mong), as part of the demonstration that started in the evening of 29 February 2020, in commemoration of the semi-anniversary of the Prince Edward Station incident during the anti-ELAB demonstrations on 31 August 2019.",0,crowd size=no report,1611094732,no
649,CHN2015,2020-03-01,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Extinction Rebellion,6,0,60,156,East Asia,China,Hong Kong,Islands,22.2874,113.9425,1,HKFP,Subnational,"On 1 March 2020, at least 6 members of Extinction Rebellion Hong Kong staged a demonstration on Lamma Island, Islands District (Hong Kong) to raise awareness of the climate crisis. During the demonstration, the demonstrators sat at a dinner table in formal dresses, with plates filled with plastic and rubbish to highlight the issue of microplastics and rubbish in the sea. They also held a banner 'The seas are rising, and so we are'. They urged the government to declare a climate and ecological emergency and put in place strategies to achieve decarbonisation by 2025.",0,crowd size=at least 6,1611094732,no
650,CHN2014,2020-03-01,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (China),Unknown,5,1,15,156,East Asia,China,Hong Kong,Kwun Tong,22.3109,114.2233,1,Ming Pao,Subnational,"On 1 March 2020, unidentified persons poured suspected corrosive liquid off a building in Ngau Tau Kok, Kwun Tong District (Hong Kong) which splattered onto a police officer's face, neck and hands, while police were investigating an incident where a man had thrown an aluminium can off the building earlier the same day. The police officer had to be hospitalised. Police listed the incident as 'intending to cause serious bodily harm using corrosive fluids' but no arrests have been reported.",0,crowd size=no report,1611094734,no
651,CHN2019,2020-03-01,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (China),Unknown,5,0,50,156,East Asia,China,Hong Kong,Eastern,22.2821,114.2213,1,The Stand News,Subnational,"On 1 March 2020, about 100 demonstrators held a march in Shau Kei Wan, Eastern District (Hong Kong), against the government's plan to use a general outpatient clinic in the district as a designated clinic for treating suspected coronavirus patients. They also urged the government to fully close the border crossings with Mainland China. During the demonstration, some demonstrators blocked a road with Styrofoam boxes, garbage bags and traffic cones. This was one of three demonstrations on the same day against the government's plan to set up designated clinics in their respective districts.",0,crowd size=about 100,1611094736,no
652,CHN2016,2020-03-01,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Kowloon City,22.3052,114.187,1,The Stand News,Subnational,"On 1 March 2020, more than 10 people protested in Kadoorie Hill, Kowloon City District (Hong Kong) outside the house of a Hong Kong entrepreneur who was arrested earlier on 28 February 2020. During the demonstration, they held banners and placards in support of the police and strict law enforcement. They also held a banner criticizing the entrepreneur for being a 'traitor' and 'causing disharmony' in Hong Kong.",0,crowd size=more than 10,1611094736,no
655,CHN1839,2020-02-29,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (China),Unknown,5,1,15,156,East Asia,China,Hong Kong,Yau Tsim Mong,22.3201,114.1692,1,Ming Pao; Ta Kung Pao,Subnational,"On 29 February 2020, over 200 demonstrators gathered outside the Mong Kok Police Station in Yau Tsim Mong District (Hong Kong) in commemoration of the semi-anniversary of the Prince Edward Station incident during the anti-ELAB demonstrations on 31 August 2019. During the demonstration, demonstrators blocked road junctions several times, burned debris, and also hurled petrol bombs on the road. Demonstrators also threw umbrellas and water bottles towards a singled-out police officer. Riot police fired pepper spray several times during the demonstration, and arrested an unreported number of people during the demonstration.",0,crowd size=over 200,1611094729,no
656,CHN1838,2020-02-29,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Wan Chai,22.2776,114.175,1,Wen Wei Po,Subnational,"On 29 February 2020, a group of demonstrators held a rally outside the Wan Chai Police Headquarters (Wan Chai District, Hong Kong) in support of the strict law enforcement undertaken by the police, and called for the investigation of the entrepreneur who had been arrested recently on the grounds of illegal assembly during the anti-ELAB protests.",0,crowd size=a group,1611094737,no
657,CHN1837,2020-02-29,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Kowloon City,22.3052,114.187,1,Wen Wei Po,Subnational,"On 29 February 2020, about 30 demonstrators held a protest at the Hospital Authority (Kowloon City District, Hong Kong), demanding for the Hospital Authority to deduct the wages of medical staff who went on strike between 3 to 7 February 2020, and to severely punish these personnel. During the demonstration, they held banners to strongly demand the investigation of illegal strikes, and chanted slogans that medical strikes have 'no conscience'. This was one of several demonstrations held against the strike launched by medical staff in February 2020, to demand the Hong Kong to fully seal the border crossings with Mainland China.",0,crowd size=about 30,1611094737,no
658,CHN2011,2020-02-29,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China),6,0,60,156,East Asia,China,Hong Kong,unknown,22.3222,114.177,3,Ming Pao,Subnational,"On 29 February 2020, representatives from the Hospital Authority Employees Alliance and other trade unions held a press conference in Hong Kong, condemning the Hospital Authority for issuing a letter to all medical staff who went on strike between 3 and 7 February 2020, requiring them to explain their reasons for absenteeism. During the press conference, they held placards stating that 'going on strike is not a crime', and demanded the Hospital Authority to stop all acts of intimidation and punishment for all medical staff who participated in the strike.",0,crowd size=no report,1618442048,no
659,CHN1833,2020-02-28,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (China),Unknown,5,1,15,156,East Asia,China,Hong Kong,North,22.4924,114.1387,1,Ming Pao; Apple Daily Hong Kong,Subnational,"On 28 February 2020, unidentified persons hurled petrol bombs at a married-police quarters in Sheung Shui (North District, Hong Kong). A private car parked in the parking lot was hit by the petrol bombs and was slightly damaged. No arrest reported. This was second incident of petrol bombs hurled at the same site, with the first incident happening on 13 February 2020. The incident was also one of many cases of police stations or police dormitories being targeted using petrol bombs since the start of the anti-ELAB demonstrations last year.",0,crowd size=no report,1611094729,no
660,CHN1834,2020-02-28,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region; DP: Democratic Party (Hong Kong),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 28 February 2020, members of Democratic Party (including at least 1 member of the legislative council) held a demonstration outside the Western Police Station (Central and Western District, Hong Kong), in solidarity of the three people from the 'pro-democracy camp' who had been arrested earlier in the morning of the same day. They also criticized the police for political prosecutions and arrests of representatives from the 'pro-democracy camp'.",0,crowd size=no report,1611094732,no
661,CHN1835,2020-02-28,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Kowloon City,22.3052,114.187,1,The Stand News,Subnational,"On 28 February 2020, around 15 people held a demonstration outside the building of RTHK (Kowloon City District, Hong Kong), demanding for director of broadcasting of RTHK and the Secretary for Commerce and Economic Development of Hong Kong to step down for failing to supervise the RTHK program, who was aired two weeks ago and deemed to be humiliating the Hong Kong Police Force. This was one of a number of protests prompted by the same program which was aired on 14 February 2020.",0,crowd size=around 15,1611094736,no
662,CHN1836,2020-02-28,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Hong Kong Labour Party; LSD: League of Social Democrats; HKCTU: Hong Kong Confederation of Trade Unions; Labor Group (China),6,0,60,156,East Asia,China,Hong Kong,Sham Shui Po,22.3289,114.1586,1,The Stand News,Subnational,"On 28 February 2020, members of the Labour Party, League of Social Democrats and HKCTU held a demonstration outside the Cheung Sha Wan Police Station (Sham Shui Po District, Hong Kong) against the arrests of a Hong Kong entrepreneur, former chairperson of the Democratic Party, and deputy chairperson of the Labour Party on the same day. The three people were arrested on the grounds of illegal assembly and intimidation. They claimed that the police were making arbitrary arrests in an attempt to suppress the freedom to assembly.",0,crowd size=no report,1611094736,no
663,CHN1831,2020-02-27,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),CP: Civic Party (Hong Kong),6,0,60,156,East Asia,China,Hong Kong,Kowloon City,22.3052,114.187,1,Inmediahk.net,Subnational,"On 27 February 2020, members of the Civic Party held a demonstration outside the Hospital Authority building (Kowloon City District, Hong Kong). They criticized the decision of the Hospital Authority to send out letters on 26 February 2020 to medical staff who went on strike between 3 and 7 February 2020, to ask for an explanation of their absence or face possible action taken against them. They called for the Hospital Authority to withdraw and apologize for the request.",0,crowd size=no report,1611094733,no
664,CHN1832,2020-02-27,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Yau Tsim Mong,22.3201,114.1692,1,RTHK,Subnational,"On 27 February 2020, about 20 people protested at the office of the Hong Kong Professional Teachers' Union in Mong Kok (Yau Tsim Mong District, Hong Kong), criticizing the union for not condemning a recent post by the acting deputy principal of a secondary school, which was deemed to be insulting the Hong Kong Police Force. They claimed that the union was protecting teachers who 'promoted hatred and hate speech', and that the union was destroying the image of the teaching profession.",0,crowd size=about 20,1611094735,no
666,CHN1829,2020-02-26,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China); HKFTU: Hong Kong Federation of Trade Unions; Hong Kong Labour Party; LSD: League of Social Democrats; DP: Democratic Party (Hong Kong); NTAS: New Territories Association of Societies; Community Alliance (Hong Kong),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Wen Wei Po; Inmediahk.net,Subnational,"On 26 February 2020, the HKFTU, Labour Party, LSD, Democratic Party, NTAS and Community Alliance took turns to petition outside the government headquarters (Central and Western District, Hong Kong), requesting the government to provide a cash handout of HKD10,000 to all permanent residents of Hong Kong. The HKFTU also called for the government to set up an unemployment assistance program, and temporarily waive salaries tax and set regulations to prohibit speculative purchase of epidemic prevention products.",0,crowd size=no report,1611094729,no
667,CHN1830,2020-02-26,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),ADPL: Hong Kong Association for Democracy and People's Livelihood,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,The Stand News,Subnational,"On 26 February 2020, a dozen members of ADPL held a protest march from the Western Police Station to the Hong Kong Liaison Office (Central and Western District, Hong Kong) and submitted a petition calling for the Government of China to unconditionally release the Chinese-born bookseller, who owned a bookstore in Hong Kong and was sentenced to 10 years in prison on 25 February 2020. The bookseller was one of five staff members of a bookstore in Hong Kong, in a high-profile case of 'disappearances' where they were later revealed to have been taken away and detained in Mainland China between October and December 2015.",0,crowd size=a dozen,1611094736,no
669,CHN1826,2020-02-25,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region,6,0,60,156,East Asia,China,Hong Kong,Wan Chai,22.2776,114.175,1,Inmediahk.net,Subnational,"On 25 February 2020, at least 7 district councillors went to the Audit Commission building (Wan Chai District, Hong Kong) to submit a petition signed by more than 300 elected district councillors calling for an investigation on the whereabouts of CSI masks (masks produced by prisoners under the Correctional Services Industries). They also criticized the government for the ineffective procurement of masks and insufficient epidemic prevention measures during the coronavirus outbreak.",0,crowd size=at least 7,1611094733,no
670,CHN1825,2020-02-25,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DAB: Democratic Alliance for the Betterment and Progress of Hong Kong,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Wen Wei Po,Subnational,"On 25 February 2020, members of the DAB went to the government headquarters (Central and Western District, Hong Kong) and petitioned ahead of the announcement of the Budget 2020-2021 to be held the next day. They called for the government to provide a cash handout of HKD10,000 as part of the relief measures for the coronavirus outbreak. They also asked the government to waive two months of rent for tenants of public housing and provide an additional two months of allowance for older persons (including cost of living allowances), persons with disabilities, Comprehensive Social Security Assistance (CSSA) scheme. They also requested for the government to completely reduce salaries and personal income tax for the current financial year.",0,crowd size=no report,1611094737,no
671,CHN1824,2020-02-24,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),CP: Civic Party (Hong Kong); Hong Kong Labour Party; Government of China (2017-) Hong Kong Special Administrative Region; Labor Group (China),6,0,60,156,East Asia,China,Hong Kong,Eastern,22.2821,114.2213,1,HK01,Subnational,"On 24 February 2020, around 12 people - 10 bus drivers and their families, and two district councillors (Labour Party and Civic Party) - protested at the headquarters of a bus company in Chai Wan, Eastern district (Hong Kong) (coded as Hong Kong-Eastern) for severance pay or unpaid leave, after the company fired all its cross-border bus drivers due to the coronavirus and border closure between Hong Kong and mainland China. They held up placards.",0,crowd size=around 12,1611094732,no
672,CHN1822,2020-02-23,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region,6,0,60,156,East Asia,China,Hong Kong,Tuen Mun,22.3919,113.9748,1,Ming Pao; HKFP,Subnational,"On 23 February 2020, between 200 to 500 residents held a demonstration (launched by a district councillor) in Tuen Mun District, Hong Kong, in protest against the government's plan to convert a polyclinic in the district into a designated clinic for treating suspected coronavirus patients without any public consultation. The district councillor stated in a press release that the polyclinic is not well-suited for a designated clinic, and suggested using the rehabilitation day care centre in Tuen Mun Hospital. Demonstrators also called for the government to fully seal the border crossing with Mainland China.",0,crowd size=between 200 to 500,1611094729,no
673,CHN1823,2020-02-23,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (China),Unknown,6,1,16,156,East Asia,China,Hong Kong,Tuen Mun,22.3919,113.9748,1,HKFP,Subnational,"On 23 February 2020, around 400-500 people demonstrated in Tuen Mun Park (Tuen Mun District, Hong Kong) against the long-standing issue of 'dancing aunties' (middle-aged female performers who sing and dance to Mandarin Chinese pop songs in the self-entertainment zone of the park), for causing disturbance and chanted slogans for the return of a 'quiet park'. During the demonstration, police officers deployed pepper spray. 1 person was reportedly arrested.",0,crowd size=around 400-500,1611094732,no
674,CHN1820,2020-02-23,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),ADPL: Hong Kong Association for Democracy and People's Livelihood,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 23 February 2020, members of the ADPL held a demonstration outside the government headquarters (Central and Western District, Hong Kong), urging the government to refer to examples from other countries and set up an unemployment assistance program. They also criticized the recently-approved HKD30 billion relief package, claiming that these measures were targeted at saving the economy and not the people of Hong Kong. They called for the government to implement price control on epidemic prevention products, and prioritize the needs of medical personnel and underprivileged persons.",0,crowd size=no report,1611094733,no
675,CHN1821,2020-02-23,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,North,22.4924,114.1387,1,Inmediahk.net,Subnational,"On 23 February 2020, more than 100 people held a protest march in a residential complex in Kwu Tung (North District, Hong Kong) against the government's plan to convert a general outpatient clinic in the district into a designated clinic for treating suspected coronavirus patients. Some black-clad demonstrators also held banners with slogans popularized during the anti-ELAB demonstrations, including 'Liberate Hong Kong, Revolution of Our Times', and some demonstrators opened bottles of champagne and fired fireworks in 'celebration' of an earlier report that a police officer had contracted the coronavirus.",0,crowd size=more than 100,1611094733,yes
676,CHN1819,2020-02-23,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China); HKFTU: Hong Kong Federation of Trade Unions,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,The Stand News,Subnational,"On 23 February 2020, members of the Hong Kong Federation of Trade Unions petitioned at the Central Government Offices (Central and Western District, Hong Kong), to demand the government to provide a cash handout of HKD10,000 to all Hong Kong permanent residents, as part of the relief measures against the coronavirus outbreak.",0,crowd size=no report,1611094736,no
678,CHN1694,2020-02-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Radio Free Asia; HK01,Subnational-International,"On 21 February 2020, about 100 people gathered in a shopping mall in Central (Central and Western District) for a 'Lunch with You' campaign, in commemoration of the seventh-month anniversary of the attacks that took place in Yuen Long MTR Station on 21 July 2019 during the anti-ELAB demonstrations. People held held banners that read 'Never forgive, never forget', as well as other pro-democracy banners. They also sang anti-ELAB songs. This was one of several 'Lunch with You' demonstrations held in various locations across Hong Kong on the same day, in commemoration of the Yuen Long incident.",0,crowd size=about 100,1611094729,yes
679,CHN1814,2020-02-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region; Labor Group (China),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,HK01,Subnational,"On 21 February 2020, members of the Legislative Council and an alliance representing education centres went to the government headquarters (Central and Western District, Hong Kong) to petition for the government to include tuition and education centres in the government's support package of HK$30 billion for the coronavirus outbreak. They also called for the government to provide rent allowances.",0,crowd size=no report,1611094732,no
680,CHN1815,2020-02-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DP: Democratic Party (Hong Kong),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Inmediahk.net,Subnational,"On 21 February 2020, members of the Democratic Party petitioned at the government headquarters (Central and Western District, Hong Kong), calling for the government to provide a cash handout of HK$10,000 to all citizens, and waive rent for two months for public housing and housing society tenants. They also requested for the interest-free repayments measures to include houses for sale. This was prompted by economic impact caused by the coronavirus outbreak.",0,crowd size=no report,1611094733,no
681,CHN1695,2020-02-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Yuen Long,22.4452,114.023,1,Ming Pao,Subnational,"On 21 February 2020, more than 100 people gathered in the atrium of a shopping mall in Yuen Long District, Hong Kong, to commemorate the seventh-month anniversary of the attacks that took place in Yuen Long MTR Station on 21 July 2019 during the anti-ELAB demonstrations. This was one of several demonstrations held in various locations across Hong Kong in commemoration of the same event.",0,crowd size=more than 100,1611094734,yes
682,CHN1818,2020-02-21,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (China),Five Demands Movement,5,5,55,156,East Asia,China,Hong Kong,Wan Chai,22.2776,114.175,1,Ming Pao,Subnational,"On 21 February 2020, several people displayed black banners and slogans at a 'Lunch with You' demonstration in Causeway Bay (Wan Chai District, Hong Kong). Another group of about 10 men and women holding the Chinese national flag later approached the demonstrators and clashed with the demonstrators. Some civilians attempted to stop the confrontation. Police arrived at the scene and arrested 2 women and 1 man for fighting in a public area. 1 woman sustained injuries to her head, while 1 of the arrested men reported injuries to his hands and feet. This was one of several 'Lunch with You' demonstrations held in various locations across Hong Kong on the same day, to call for the Five Demands and commemorate the seventh-month anniversary of the Yuen Long incident on 21 July 2019. Meanwhile, many people gathered to hold a sit-in protest at the Causeway Bay MTR Station in commemoration of the same event. They held banners to 'liberate Hong Kong' and called for an investigation to the police misconduct allegations during the anti-ELAB demonstrations.",0,crowd size=many,1611094734,yes
683,CHN1817,2020-02-21,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (China),Five Demands Movement,6,1,16,156,East Asia,China,Hong Kong,Kwun Tong,22.3109,114.2233,1,Ming Pao,Subnational,"On 21 February 2020, about 20 people gathered in Kwun Tong (Kwun Tong District, Hong Kong) for a 'Lunch with You' demonstration, in commemoration of the recent news report that a police officer had contracted the coronavirus. During the demonstration, they held slogans. About 50 riot police officers arrived at the scene and surrounded the demonstrators for interception. At least 1 person was arrested for possession of offensive weapons. This was one of several 'Lunch with You' demonstrations held in various locations across Hong Kong on the same day to call for the Five Demands and commemorate the seventh-month anniversary of the Yuen Long incident on 21 July 2019.",0,crowd size=about 20,1611094734,yes
684,CHN4072,2020-02-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Eastern,22.2821,114.2213,1,The Stand News,Subnational,"On 21 February 2020, a 'Lunch with You' demonstration was held in Taikoo, Eastern District (Hong Kong) to call for the Five Demands and commemorate the seventh-month anniversary of the Yuen Long incident during the anti-ELAB demonstrations on 21 July 2019.",0,crowd size=no report,1611094736,yes
685,CHN4071,2020-02-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Kwai Tsing,22.3674,114.1329,1,The Stand News,Subnational,"On 21 February 2020, a 'Lunch with You' demonstration was held in Kwai Chung, Kwai Tsing District (Hong Kong) to call for the Five Demands and commemorate the seventh-month anniversary of the Yuen Long incident during the anti-ELAB demonstrations on 21 July 2019.",0,crowd size=no report,1611094736,yes
686,CHN1813,2020-02-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Sham Shui Po,22.3289,114.1586,1,The Stand News,Subnational,"On 21 February 2020, a 'Lunch with You' demonstration was held in Lai Chi Kok, Sham Shui Po District (Hong Kong) to call for the Five Demands and commemorate the seventh-month anniversary of the Yuen Long incident during the anti-ELAB demonstrations on 21 July 2019.",0,crowd size=no report,1611094736,yes
689,CHN1810,2020-02-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China),6,0,60,156,East Asia,China,Hong Kong,Kwai Tsing,22.3674,114.1329,1,The Stand News,Subnational,"On 20 February 2020, members of the Hong Kong Cabin Crew Federation went to the office of Hong Kong Airlines (Kwai Tsing District, Hong Kong) to petition against the dismissal of over 160 flight attendants the day before. They criticized the company for the lack of transparency in their operations. This incident took place amid a sluggish aviation industry which had been impacted by the coronavirus outbreak.",0,crowd size=no report,1611094736,no
690,CHN1811,2020-02-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),LSD: League of Social Democrats; Hong Kong Labour Party,6,0,60,156,East Asia,China,Hong Kong,Wan Chai,22.2776,114.175,1,The Stand News,Subnational,"On 20 February 2020, about 20 members of the League of Social Democrats and Labour Party held a protest at the Wan Chai Police Headquarters (Wan Chai District, Hong Kong). It was in response to the criticism from the Commission of Police and members of the public following the airing of a RTHK program which was deemed to be ridiculing the police force. The demonstrators claimed that it was a suppression of press freedom and RTHK's creative freedom, and asked the Commission of Police to withdraw his criticism and issue a public apology.",0,crowd size=about 20,1611094736,no
693,CHN1807,2020-02-19,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Labor Group (China),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Hong Kong Government News; The Stand News,Subnational,"On 19 February 2020, nearly 1,000 people gathered at a rally launched by a newly-created union for civil servants, in front of the government headquarters (Central and Western District, Hong Kong). They criticized the uneven distribution of protective measures (against the coronavirus outbreak) by government departments. They also argued that frontline civil servants have not been provided with sufficient supplies for epidemic prevention, and called for the government to re-examine and re-allocate resources for epidemic prevention. The government has since responded that holding the demonstration at such a critical moment was irresponsible, and reiterated that civil servants have strict responsibility to follow its policies to combat the coronavirus.",0,"crowd size=nearly 1,000",1611094729,no
